"drug_name","drug_id","target","target_pathway","ic50_effect_size","feature_name","TISSUE TYPE "
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.066244529597845","ABCB1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.33443230638383","ABL2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.099922713225642","ACACA_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.15237683505726","ACVR1B_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.43881339628165","ACVR2A_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.48380976340918","AFF4_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.36038246077253","AHCTF1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.26285913179112","AHNAK_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.33671943887574","AKAP9_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.12529690489476","ALK_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.087103155318774","ANK3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.56206220844636","APAF1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.004149685161163","APC_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.36256434093752","AQR_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.41053849280546","ARAP3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.45423322526864","ARFGAP3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.054965801744024","ARFGEF1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.050823865601383","ARFGEF2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.36485991532533","ARHGAP29_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.20003310613035","ARHGEF6_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.065890502356728","ARID1A_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.17262525852503","ARID1B_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.053437835066314","ARID2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.70433573483785","ARID4A_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.34349910593211","ARID4B_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.085332052249116","ARID5B_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.36977979370948","ASH1L_mut","PANCANCER"
